@relation yelp_academic_dataset_user

@attribute average_stars numeric
@attribute compliments.cool numeric
@attribute compliments.cute numeric
@attribute compliments.funny numeric
@attribute compliments.hot numeric
@attribute compliments.list numeric
@attribute compliments.more numeric
@attribute compliments.note numeric
@attribute compliments.photos numeric
@attribute compliments.plain numeric
@attribute compliments.profile numeric
@attribute compliments.writer numeric
@attribute elite numeric
@attribute fans numeric
@attribute friends numeric
@attribute review_count numeric
@attribute user_id string
@attribute votes.cool numeric
@attribute votes.funny numeric
@attribute votes.useful numeric
@attribute yelping_since string

@data
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,rmuAYrpRYjcvQakUAmLnlw,1,1,4,2011-06
3.91,5,0,1,5,1,3,1,0,3,0,4,1,2,1,128,NKZoxboFNX_BcMZLBbPNkw,37,19,84,2011-01
4.19,1,0,0,1,0,0,0,0,0,0,0,0,0,1,33,RB_0j4JjTghr4mSLetqP1Q,4,0,10,2013-09
4.2,0,0,0,2,0,0,0,2,1,0,0,0,0,1,15,iAgjwuHdhwu-e3X_cceUHw,7,5,13,2010-10
3.88,1,0,0,0,0,0,1,0,0,0,0,0,1,1,17,ZLiilrkqrW7xW1VOrZQxlw,4,3,5,2008-12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M3CbjSYHa7RNplIAmKx2Aw,0,0,0,2014-07
4.08,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,XLjcEAYcr_TfnKrCAoh5fw,1,0,3,2011-10
3.57,1,1,0,2,0,1,0,0,1,0,4,0,0,1,23,1IGuHoeMAykWlWU6zFqKzQ,11,1,31,2009-02
3.83,13,0,6,12,0,0,12,1,10,1,15,1,4,1,227,7_XwjOebd1temr3CaqGwpg,506,261,709,2011-06
3.82,422,18,96,270,21,24,206,22,699,7,125,1,49,1,1074,-wOgMGHvNJHQDfqUgX19Qg,2855,1839,3946,2007-04
2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6YQ1DwRC_QBS2z4Inizi8w,0,0,0,2013-05
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4YFk2ZnIzftd-0wy7N7H4w,3,0,6,2009-10
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,B-Ay_mtGh4uSz_Fu5qAcmA,1,0,1,2012-07
4.45,1,0,0,1,0,0,0,0,1,0,0,0,1,1,47,4MMfChiUBvP_FlgpYhsEJA,10,4,35,2013-04
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,YqXEGLsXac6xowGxRr2stQ,1,0,0,2014-02
3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,yscE5F24e_TdpTulIYrBJw,0,0,1,2013-05
4.24,16,7,3,22,0,2,7,5,4,3,4,1,7,1,125,QYgcusG-G0bwUOt0b5rT6w,56,61,147,2011-02
3.16,4,0,1,0,0,0,1,0,3,0,2,0,2,1,49,mzmwMzJJv-P-qFbJ4xJMrg,45,37,85,2008-09
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,PUjqcSbmXT_eGQHIeT3hxw,8,10,14,2010-12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,hghOmnx5W4dQmvfhGtq_sw,0,0,1,2011-01
3.48,0,0,0,0,0,0,2,0,1,0,0,0,0,1,18,0Mw-VAty6kXK5Qdz5w8IDw,4,4,20,2010-03
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6dzDU0w5R8dnvs8JYV48fw,0,0,2,2012-12
3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,rlvlv2XExpsZLrYNyv7yRA,0,1,1,2014-04
3.82,23,2,10,19,0,5,12,2,22,1,11,1,7,1,172,9IQW7ckslbxLSj0uygJHMw,127,223,314,2011-04
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ME-lmDsLO10cfEuYStlFLg,0,0,0,2010-07
4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,IA-cJHXFFzzB0x4nieISVA,3,8,30,2011-05
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,q4kXvLhMIfx7Fomt2ppzgg,0,0,0,2011-12
4.34,13,3,17,18,0,6,6,3,15,3,6,0,17,1,139,qYyF_34ZEVpQPceKnCe8bw,92,81,177,2011-08
4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,HBlwXZyx4ADdFI6mC1FO2A,0,1,0,2013-07
3.77,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22,qoeSpwTjflaFQOdzsd7gWA,6,1,7,2011-11
3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,nfITEJkrHetfMbh4ztQaVg,1,2,5,2011-10
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,gWr0aiai3YIJP40r9s5P7g,0,0,0,2013-07
4.14,0,0,0,0,0,0,0,0,1,0,0,0,2,1,27,fhCEvwVjWWYxtH5eApJblA,11,7,22,2009-05
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,S0G6PRBTtC-9RooWVNEazg,0,1,0,2014-03
4.22,0,0,0,0,0,0,4,0,0,0,0,0,0,1,66,PRguhK_A7_n6ivg_x-OY1g,24,5,56,2011-02
2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,odmafwvVJEtpzf_yc1JYJA,0,1,1,2013-11
4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,MRijWZDUFW9vsUuFdNtlGg,2,4,8,2010-07
4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,OA2AXYJ0E2ImgosBFeZItw,8,1,12,2010-06
4.03,2,0,5,4,2,2,3,0,3,0,7,1,3,1,91,Wrt1baSOa47mvP9XOFjvSA,72,52,184,2006-12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,vQ_up1eS6s2i9KAWz1SVxg,1,1,2,2012-07
3.11,0,0,0,0,0,0,0,0,1,0,0,0,1,0,52,W1B7CUkPaO8AOuzDEjra-g,20,20,88,2008-08
3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,DaYYUq3JjLsW-NCwtHvJAw,0,0,5,2013-11
3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,pseti3JutMB45hFvvquwGw,1,0,1,2012-12
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,sBEhKV3rf8G7IJKih2jyNQ,2,0,2,2011-12
4,1,0,0,0,0,0,0,0,2,0,0,0,2,1,37,E6oMlEST0nVENIe0yKY52Q,21,12,41,2009-08
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,veWVDFqvNumZSe4SJeUrsA,0,1,4,2009-03
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,SeGZgVHNjONmXhZJxBkgZA,2,0,10,2012-10
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,XWXk1e9SyHTr30Xl04NQPQ,1,0,2,2009-06
4.01,28,3,15,5,1,1,14,1,14,0,3,1,11,1,94,0a4EBQd0WbpGbyW5QFhtUA,113,80,242,2009-06
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,rIq2_XjywgmzCT28q9Ma7A,0,0,1,2013-12
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x8Cwa23muIIXny5ACY2cMg,0,0,1,2013-05
3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,s1E5tZxVOW6J4-akcef78Q,2,0,5,2013-03
4.75,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,G-kaMlavLAFHbYEBiIjgow,0,0,6,2010-08
4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,I0X2gXjpzeZvANj4H8caiA,1,0,3,2012-10
3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,D8-Bg4XdilKGIpsqI6Jglw,0,0,1,2010-01
3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,PVXKA7FmZVQWJhJhIub5DA,1,0,0,2009-06
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4PYxn0CUm417l8bmJVnAoA,0,0,0,2014-05
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8wlHC-g2POtQtZ2LCEXEzQ,1,3,2,2012-02
4.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,9EIqQqsGQWvpv1iOXb4Ikw,4,6,7,2010-08
5,1,0,0,1,0,0,1,3,0,0,0,0,3,1,4,70AtIbQqFWd017hhp1QinA,11,1,14,2011-01
4.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,Ny2PgI0va4iqny6qMOLLog,4,2,13,2011-02
3.84,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19,6K6bPBnVZ5JMrZDnscRDtw,3,10,17,2011-07
3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,KVVP0o9bEfkygI5oaZg11g,0,0,4,2013-10
3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4aHrGKTUuksPPia8R4iH6A,0,1,2,2009-11
5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,dKI3UpivwoSauui8SAxVYQ,1,0,1,2011-01
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,uY2BSeGryK2ZE46iEyKvgA,0,0,0,2011-09
4.77,0,1,0,0,0,0,0,0,0,1,0,0,0,1,13,hSUgnZIoPjaHtjjtcqeA_w,3,5,10,2007-02
4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,k7gc7IGk2jO7CNsZW4bRtw,0,0,2,2011-02
3.9,1,0,0,1,0,0,3,0,0,0,1,0,0,1,38,uPjX0JfKDSk0jHTIuikDxg,12,11,40,2010-02
5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,PcLqxpUhA0bTKqOswsRf-g,3,1,7,2009-06
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,PxTvNHmtvSK70uHBM-VgCw,0,0,4,2012-10
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,h_mJrmLBVvN81TvuHcG9vA,3,2,13,2011-05
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,miGMo24qAtg1-oCzVqQU6g,5,5,7,2011-09
3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13nmx8qbC2qabVKORM4osg,0,1,2,2012-05
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,mXMCP0WOewCcYUglFZFyxw,0,0,0,2010-05
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,RoWkEqQQVl0aRsOU34qa8w,0,0,0,2014-03
4.09,1,1,1,1,0,0,0,0,1,0,1,0,0,1,11,U1Pq5DpUkdecDtCNAbSiUA,13,7,12,2009-10
4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,dVPqK6dAZTuwtqc5kzhJvA,0,1,5,2011-04
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,PfGlhpoQO4p_I9b1cWapVA,0,1,1,2007-12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,aKhnDOuKIkQy7ncISA1d_w,0,0,0,2013-04
4.38,28,0,4,4,0,1,8,1,15,0,4,1,4,1,277,03Wi3xFOI_DUcsIoRQDTBQ,243,118,356,2005-08
3.86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,l-RlajvPuCAdQX1YXp9yOg,5,10,31,2008-08
4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Ftkucf_GlW5e5x5F-XuQUQ,3,1,4,2011-08
3.8,12,4,7,12,0,2,4,3,4,3,4,1,12,1,211,ast7zFwurXISi8VKZ9FtWw,321,315,390,2006-08
3.29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,KALAhCI2906qzsc8Hs7y0Q,3,5,11,2010-06
3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,SP3Zy4mBoXt7l-KUyrKyKg,0,0,1,2012-01
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,u8jjuFRPzZ6e79nM9Ub0PQ,1,1,0,2014-01
3.37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,Dd3yTxT4oEliNj02hqlNcg,5,3,10,2010-11
3.64,72,24,17,95,5,6,30,18,35,8,18,1,30,1,431,uzqM9qDSbuZUUQMUUR8OCQ,521,456,846,2005-10
2.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,fXqdzXDBR3LDPy4xTUW22A,1,2,6,2012-08
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,AmwQ5M5y7BGtMAYi1J4hkA,1,0,1,2011-11
4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,y4sEGGJlnyhxlbk0MGLrow,2,2,8,2013-10
3.62,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,-0MGEWw692xeqwmdvsnFZw,3,0,25,2012-09
2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,JjSnnGdW3PogcK6X3S8J3A,0,0,5,2013-02
3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,rnBDBO4NqKoCr2duRji15w,0,1,8,2009-07
4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,xrzLctzPNFfQiotlaHb-vw,2,1,4,2012-11
2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,f5-O-eg26XJZz-aIYb6jqg,9,8,26,2012-02
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,YooowD13cW9LTdgXTELZ1g,0,0,0,2011-01
3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,dT9zssrtvlv322dDXUc_tA,6,12,28,2013-07
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,TU56ILWtLkbOthVqZ0JHig,0,0,4,2009-08
4.08,0,0,0,0,0,0,0,0,1,0,0,0,2,0,38,_DJGk4LtPhah63L678fvDg,19,17,64,2008-06
3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,vkC2dBeCkrUrhP1BIrA1GA,1,0,1,2013-09
4.07,0,0,0,1,0,0,0,0,2,0,0,0,1,1,14,A0jGsDY5L2SYee4-KAdYxA,6,3,19,2008-12
3.2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,5,aNIquB5Mvl67iIA2dxNdEw,4,0,10,2012-07
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,tgqK-sOzQ9UlNAUkY9RQ7w,0,0,0,2013-08
1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0FLH0i01VaQQ4k_a9Po4pg,0,0,23,2011-08
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FJ6AHLuD7Yi1RA250XVWkw,0,0,0,2013-02
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,QOuySXPD17fHIs4bpWxX9w,2,0,8,2012-08
3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,BifStGKp5N0y4OMGFEXpiQ,1,0,4,2008-09
2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,rz1z_kaelWSPUvMz7L37oQ,0,1,5,2008-08
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,u6FXwmVNS6DL72hBAo4b-A,0,0,23,2012-09
3.64,39,3,23,28,0,4,7,2,48,5,23,1,8,1,144,_ap0yLhRPAHwEeHAMFSYmw,278,410,386,2009-12
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B29joGB1pkFGod2hI9ABRw,0,0,0,2012-01
3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,vEwscWpEppqvzCsD04DwXA,4,0,9,2011-02
4.07,0,0,0,1,0,0,0,1,1,0,0,0,4,0,30,hPWlzWT3z0eXCSEzQtZ37Q,20,3,22,2007-01
4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,31,I2DQfwJqykzNn-9g-0JnzA,4,6,25,2011-08
3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6yOUn_4FbIn0FhCNyi4EVA,1,3,3,2010-09
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,i5suMdCj-T0QhH6fgA5x-g,0,0,0,2013-08
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,UvAuO2RJH3GnvXVVWy9sLQ,0,0,0,2012-11
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,h9pdUPthG4L3suKp5WhkCg,0,0,3,2011-06
3.16,14,0,37,2,0,3,221,13,39,1,10,0,7,1,194,lLkz-w8p1nANIkZbwT4P4Q,163,304,397,2010-06
4.7,1,0,0,0,0,0,0,0,0,0,1,0,1,1,10,EPGH_nwK00e8OR3OeQI9Aw,1,0,5,2009-08
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Tvs-j4BmiR4Eu2voIVxEKw,0,0,2,2010-05
4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,l9ANvRwozcdsiXzQotcpUA,1,0,3,2012-07
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,QHXTJle9UWrvnAU7gXku-g,1,0,2,2010-10
3.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,nIjRKVKVZrOMSEZ7ysv5pg,0,2,14,2011-03
5,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,jkV_O7HuK8Xtgj7h2THJ6g,0,0,0,2013-06
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,O46uvfsOsSm9ZXWFZVSTLA,1,0,5,2011-02
2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,janYGHQqgKgj18kF5omOSQ,0,4,16,2012-01
3.82,45,10,21,30,0,9,5,0,16,6,21,1,6,1,153,WqZzDuzt8KFJPRVse7DWiQ,337,364,415,2008-08
3.86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,oiHHWr0qk1eRBUK3shOiWA,2,3,9,2012-04
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PGfXlWJLP06OgdBTNI6ApQ,0,0,0,2012-12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,AXwxLOnn_85eci9Zi24ikA,1,0,3,2011-01
3.78,15,1,3,7,0,0,2,1,18,0,8,1,8,1,137,9tXL9eJNIi9SL5pdCYeyZQ,188,202,326,2011-09
3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Uz8tAe4B9peCEbrwd3pFKw,3,1,3,2013-03
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CezoTHjo4ZZgpg_vCBPsig,0,0,0,2013-12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5UtS6maBHwip4Ky5XuvmIw,0,0,1,2014-01
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,767Mv1_lfrdCdT274Yl-wQ,0,0,2,2014-04
3.78,29,0,11,37,3,4,11,3,19,1,29,1,16,1,224,7r9SPsc0zMJu4oKUioRC-w,245,218,540,2010-02
1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Q9xW5xtiJtbl_Vna6Z-sbw,0,0,2,2012-01
4.14,0,0,0,0,0,0,0,0,0,0,0,0,66,1,15,4mWxUwUX9OjxeT4LgTe84w,68,0,71,2011-12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,m7Gxr9ZT0lkwTpBL6fz4dg,0,0,2,2012-07
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,L8O6yW2qUXEBpY59zT7hpQ,0,0,0,2014-01
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,a6NqCBArP4n7E9-YAejoOw,0,0,9,2011-05
3.5,0,0,0,0,0,1,0,0,1,0,0,0,1,1,21,W7qxpYIIRezo9YMTN0t0Zg,7,8,23,2010-09
3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,lQq0eymDQAna3fEjN5jUUQ,0,1,1,2007-08
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,dBxVMcUotopEpZf5AuNumA,0,0,1,2012-07
4.88,4,0,0,1,0,1,3,0,2,0,0,0,0,1,8,q6-XUsL3dg9zi2-2b60Lbg,0,0,4,2010-07
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,V05PwCcYNiA871w0qhbH9w,0,0,0,2011-05
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,F1vT1owesSNPbtYMZbUULQ,1,0,2,2012-03
3.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,19,NCUJerJcW_0zgllq2utKCA,5,8,15,2012-10
4.13,1,0,0,2,0,0,3,0,1,0,0,1,3,1,127,HRneZ-uLMDZFDCaTSEDOLA,35,18,132,2008-05
3.86,0,0,3,0,0,0,2,0,1,0,0,0,0,0,55,cA5pC4W37i1nsOygEQktUg,10,2,33,2011-02
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,HCS7fkn2rsgxRUYVN2uswQ,0,0,0,2011-10
3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,jA5ce5m-wPyaVRESe4ZHlg,1,2,8,2010-02
3.91,22,0,7,14,1,7,13,2,24,1,16,1,6,1,124,EkDRdsqgd9QPj-qgvSoY2w,128,88,278,2007-04
3.66,0,0,0,0,0,0,1,0,1,0,0,0,1,1,85,KoGRG53yzULCOsvpMzY8JA,15,12,62,2006-08
3.48,0,0,1,0,0,0,0,0,0,0,3,0,2,0,23,FXHS0rTA_I7VgfauIyUs8g,6,6,15,2010-06
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,WMNiIRMOcIAEWQOT93HITA,1,2,2,2012-03
3.63,0,0,0,0,0,1,0,0,2,0,0,0,3,1,102,bTcoTu7FwJ1EgF1nzVnu6A,10,5,78,2008-01
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8Rk21JYEBnLTtaKpEsqg0Q,0,0,1,2012-11
4.79,1,1,0,0,0,0,1,0,2,0,1,0,0,1,14,asoOzbwJYsyzOgqCNf4sAQ,13,8,24,2010-01
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,REyX72sCGu0-Eh-sOIgvWA,0,0,0,2013-03
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Xh8DQVe433cnFJVfU6WZpQ,0,0,0,2013-08
3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,3ZaoxSsSK7l78nr_QpiG1g,1,0,4,2012-07
3.54,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,gL90PwMPsqf3JfzdIZfbVw,2,3,16,2009-01
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,uCG2W7wt4g3XvZ4XHIjTuA,0,0,0,2014-07
3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,yQBGdFRd5z-bp2Z2gfWtSQ,1,2,5,2012-08
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,57VvndB28ked3TWE0hWCuw,0,0,2,2013-03
3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,zXRGsPcdiQqewlyxgqTSCQ,1,0,11,2011-09
4.46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63,EaVmK7PPnV5TAEvB_tg-sw,5,4,12,2013-07
3.72,380,12,119,277,5,15,93,68,289,5,110,1,51,1,458,7xLNzR76Z2EJQQkzMoOgKA,1358,994,2095,2008-08
3.87,7,2,2,14,2,5,3,0,7,1,5,1,17,1,77,6rd4hDbIkN_B6Q51oVhT_w,41,38,85,2008-02
3.61,1,0,0,0,0,0,0,0,0,0,0,0,0,1,33,7X4AXX5xbYL-MqFXlSfiUg,3,2,6,2011-08
3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9QZIr6sajFHAY-iDD9qWVA,1,0,3,2010-12
3.15,1,0,0,0,0,0,0,0,2,0,1,0,4,1,26,3FR1T5g9nfGqkd2VMMytHw,3,5,27,2010-12
3.62,0,0,0,0,0,0,2,0,0,0,0,0,0,1,40,88bhi1It-gYq3_Z93Ey2zw,11,10,24,2010-10
3.53,0,0,0,0,0,0,5,0,1,0,0,0,1,0,79,itQlfYLl3ASVtb28XJUVXQ,18,26,87,2011-05
4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3BIcaCA0dDX2DfRY2BrPuA,0,0,2,2014-04
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,XjYSy8plPkytvSAB1B85Yg,0,0,2,2012-11
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,RoDfMbDhTC0TsPsIf_GROQ,0,0,0,2011-02
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,pcp7b1fzwGQzue7rG6gLGQ,0,0,0,2013-08
3.44,21,3,4,21,0,2,20,1,24,2,3,1,9,1,279,baYu2JM19aIABeZCql0ebg,149,156,498,2009-04
2.75,1,1,0,0,0,0,0,0,0,0,0,0,1,1,4,YjiNV59v4TikY1XTTKGiMA,0,1,3,2011-10
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,bFYtxzeFYB9tp3IldKBriQ,0,0,0,2013-06
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,HYGFtrAPDEwNHJSYdnavHg,0,0,0,2014-03
3.25,10,2,7,16,0,1,8,0,7,2,2,0,3,1,31,ZAf3pNppMoybgmsW8bXpKA,39,27,56,2008-03
3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-1uX4pkbOYd0Gv43I0cFow,6,2,21,2008-09
3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,5XCpZHma9YMNPj5qeDjheg,0,0,4,2013-04
4.33,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,sLrgMRtJweBXOsN0BPFVuQ,1,1,7,2012-01
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,ve-JsKi0gpoxqqDqsFQIvw,0,0,1,2013-10
3.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,IJ04NUvnehuHr04bpR6W4A,2,1,4,2013-10
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,oWYTftm1r74-LdpX2TRHGA,0,0,2,2012-02
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4R3c_5leQIbH_Foxnaq_8A,0,0,1,2010-06
3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,sOzcFpftdQxr1ckntT5B-g,4,18,73,2009-05
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,WsOrUfaiCTbuxylj_l3vOA,0,3,1,2009-01
3.45,16,0,0,13,0,0,2,1,5,0,1,0,4,1,229,NrP_Th8NJliHito5YlBNeA,62,37,148,2007-06
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0uRoMDH3PZ48ApRtBYzTug,0,0,2,2013-08
4.67,0,0,0,1,0,2,0,0,0,0,1,0,0,1,2,YBftkbXRwi-CB6zlAAk5DA,1,0,2,2012-02
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,_kO0RcNAImSfnqC3xlF6sQ,1,0,0,2011-12
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,p258k86pGf9RtuhC1Gv7YA,1,0,1,2010-07
4.22,3,0,0,1,0,1,3,0,3,0,0,0,3,1,60,Ejeq3V3-BrhO_4iwWmVBag,27,17,62,2008-08
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,s6CqZ_glE7k4e-7KHpHXHg,0,0,1,2012-08
4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4ZiQDHVD8hQyFxE-6uSMcA,1,0,2,2013-09
3.48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,ZttywvB8VXzc6Xg199a87Q,0,0,5,2009-07
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,GncyCpPpbMgSh0RKG_pHsg,1,0,0,2014-02
